R125	0x7D2288
R124	0x7C0000
R123	0x7B0000
R122	0x7A0000
R121	0x790000
R120	0x780000
R119	0x770000
R118	0x760000
R117	0x750000
R116	0x740000
R115	0x730000
R114	0x727800
R113	0x710000
R112	0x70BCB2
R111	0x6F01B7
R110	0x6E0C49
R109	0x6D9D7D
R108	0x6C00A1
R107	0x6B8801
R106	0x6A0007
R105	0x694440
R104	0x680000
R103	0x670000
R102	0x660000
R101	0x650000
R100	0x640000
R99	0x630000
R98	0x620000
R97	0x610000
R96	0x600000
R95	0x5F0000
R94	0x5E0000
R93	0x5D0000
R92	0x5C0000
R91	0x5B0000
R90	0x5A0000
R89	0x590000
R88	0x580000
R87	0x570000
R86	0x560000
R85	0x550000
R84	0x540000
R83	0x530000
R82	0x520000
R81	0x510000
R80	0x500000
R79	0x4F0000
R78	0x4E0036
R77	0x4D0000
R76	0x4C000C
R75	0x4B0B80
R74	0x4A0000
R73	0x49003F
R72	0x480001
R71	0x470080
R70	0x46C350
R69	0x450000
R68	0x4403E8
R67	0x430000
R66	0x4201F4
R65	0x410000
R64	0x401388
R63	0x3F0000
R62	0x3E00AF
R61	0x3D00A8
R60	0x3C03E8
R59	0x3B0000
R58	0x3A8001
R57	0x390000
R56	0x380000
R55	0x370000
R54	0x360000
R53	0x350000
R52	0x340420
R51	0x330080
R50	0x320080
R49	0x314180
R48	0x3003E0
R47	0x2F0300
R46	0x2E07F0
R45	0x2DC622
R44	0x2C2220
R43	0x2B0000
R42	0x2A0000
R41	0x290000
R40	0x280000
R39	0x270001
R38	0x260000
R37	0x250105
R36	0x240100
R35	0x230004
R34	0x220010
R33	0x211E01
R32	0x2005BF
R31	0x1FC3E6
R30	0x1E18C6
R29	0x1D18C6
R28	0x1C0488
R27	0x1B0002
R26	0x1A0808
R25	0x190624
R24	0x18071A
R23	0x17007C
R22	0x160001
R21	0x150409
R20	0x143448
R19	0x132756
R18	0x120064
R17	0x1100CC
R16	0x100080
R15	0x0F060E
R14	0x0E1840
R13	0x0D4000
R12	0x0C5001
R11	0x0BB018
R10	0x0A10F8
R9	0x090004
R8	0x082800
R7	0x0700B2
R6	0x06C802
R5	0x0538C8
R4	0x040A43
R3	0x030782
R2	0x020500
R1	0x010808
R0	0x00201C
